
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"bmt2653889b.3"    ,    0.00000,  8.14118E+0003,  7.96743E+0003
"bmt8910158b.1"    ,    0.00000,  8.17164E+0003,  7.96743E+0003
"bmt8910158b.2"    ,    0.00000,  8.11935E+0003,  7.96743E+0003
"bmt8910158b.3"    ,    0.00000,  8.14056E+0003,  7.96743E+0003
"bmt155623623.1"   ,    0.00000,  8.17163E+0003,  7.96743E+0003
"bmt155623623.2"   ,    0.00000,  8.11934E+0003,  7.96743E+0003
"bmt155623623.3"   ,    0.00000,  8.14055E+0003,  7.96743E+0003
"bmt8910161b.1"    ,    0.00000,  8.17162E+0003,  7.96743E+0003
"bmt8910161b.2"    ,    0.00000,  8.11934E+0003,  7.96743E+0003
"bmt8910161b.3"    ,    0.00000,  8.14054E+0003,  7.96743E+0003
"bmt8910163b.1"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8910163b.2"    ,    0.00000,  8.11933E+0003,  7.96743E+0003
"bmt8910163b.3"    ,    0.00000,  8.14053E+0003,  7.96743E+0003
"bmt8910179b.1"    ,    0.00000,  8.17161E+0003,  7.96743E+0003
"bmt8910179b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910179b.3"    ,    0.00000,  8.14053E+0003,  7.96743E+0003
"bmt8910186b.1"    ,    0.00000,  8.17160E+0003,  7.96743E+0003
"bmt8910186b.2"    ,    0.00000,  8.11932E+0003,  7.96743E+0003
"bmt8910186b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt8910210b.1"    ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt8910210b.2"    ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt8910210b.3"    ,    0.00000,  8.14052E+0003,  7.96743E+0003
"bmt155623624.1"   ,    0.00000,  8.17159E+0003,  7.96743E+0003
"bmt155623624.2"   ,    0.00000,  8.11931E+0003,  7.96743E+0003
"bmt155623624.3"   ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt8910220b.1"    ,    0.00000,  8.17158E+0003,  7.96743E+0003
"bmt8910220b.2"    ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt8910220b.3"    ,    0.00000,  8.14051E+0003,  7.96743E+0003
"bmt8910224b.1"    ,    0.00000,  8.17158E+0003,  7.96743E+0003
"bmt8910224b.2"    ,    0.00000,  8.11930E+0003,  7.96743E+0003
"bmt8910224b.3"    ,    0.00000,  8.14050E+0003,  7.96743E+0003
"bmt8910231b.1"    ,    0.00000,  8.17157E+0003,  7.96743E+0003
"bmt8910231b.2"    ,    0.00000,  8.11929E+0003,  7.96743E+0003
"bmt8910231b.3"    ,    0.00000,  8.14050E+0003,  7.96743E+0003
"bmt8910236b.1"    ,    0.00000,  8.17157E+0003,  7.96743E+0003
"bmt8910236b.2"    ,    0.00000,  8.11929E+0003,  7.96743E+0003
"bmt8910236b.3"    ,    0.00000,  8.14049E+0003,  7.96743E+0003
"bmt8910240b.1"    ,    0.00000,  8.17156E+0003,  7.96743E+0003
"bmt8910240b.2"    ,    0.00000,  8.11928E+0003,  7.96743E+0003
"bmt8910240b.3"    ,    0.00000,  8.14049E+0003,  7.96743E+0003
"bmt8910246b.1"    ,    0.00000,  8.17155E+0003,  7.96743E+0003
"bmt8910246b.2"    ,    0.00000,  8.11927E+0003,  7.96743E+0003
"bmt8910246b.3"    ,    0.00000,  8.14048E+0003,  7.96743E+0003
"bmt155623629.1"   ,    0.00000,  8.17155E+0003,  7.96743E+0003
"bmt155623629.2"   ,    0.00000,  8.11927E+0003,  7.96743E+0003
"bmt155623629.3"   ,    0.00000,  8.14048E+0003,  7.96743E+0003
"bmt8910319b.1"    ,    0.00000,  8.17154E+0003,  7.96743E+0003
"bmt8910319b.2"    ,    0.00000,  8.11926E+0003,  7.96743E+0003
"bmt8910319b.3"    ,    0.00000,  8.14047E+0003,  7.96743E+0003
"bmt8910489b.1"    ,    0.00000,  8.17154E+0003,  7.96743E+0003
"bmt8910489b.2"    ,    0.00000,  8.11926E+0003,  7.96743E+0003
"bmt8910489b.3"    ,    0.00000,  8.14047E+0003,  7.96743E+0003
"bmt8910491b.1"    ,    0.00000,  8.17154E+0003,  7.96743E+0003
"bmt8910491b.2"    ,    0.00000,  8.11926E+0003,  7.96743E+0003
"bmt8910491b.3"    ,    0.00000,  8.14047E+0003,  7.96743E+0003
"bmt155623630.1"   ,    0.00000,  8.17153E+0003,  7.96743E+0003
