
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus            Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

bmt1599169b       8.129       1.02    0.01884     0.2317    0.0348    0.4281
bmt2611880b       8.124       1.02    0.02011     0.2475   0.03527    0.4341
bmt169432989      8.115      1.019    0.02217     0.2732   0.03602    0.4438
bmt169432990      8.102      1.017    0.02542     0.3137   0.03719    0.4591
bmt2624410b       8.153      1.023          0          0         0         0
bmt125117178      8.088      1.015    0.02874     0.3553    0.0384    0.4747
bmt125117192      8.073      1.013    0.03253      0.403   0.03978    0.4928
bmt163888609      8.131       1.02          0          0         0         0
bmt2616178b       8.131       1.02          0          0         0         0
bmt2616556b        8.06      1.012    0.03568     0.4427   0.04093    0.5078
bmt125122428      8.285       1.04          0          0         0         0
bmt2587884b       8.285       1.04          0          0         0         0
bmt125122365      8.266      1.037          0          0         0         0
bmt2587842b       8.266      1.037          0          0         0         0
bmt125117934      8.288       1.04    0.08303      1.002   0.05425    0.6546
bmt2588066b       8.287       1.04    0.08319      1.004   0.05427    0.6549
bmt125122435      8.285       1.04          0          0         0         0
bmt125122442      8.285       1.04          0          0         0         0
bmt125122449      8.285       1.04          0          0         0         0
bmt2574864b       8.285       1.04          0          0         0         0
bmt1600555b       8.285       1.04          0          0         0         0
bmt2574913b       8.285       1.04          0          0         0         0
bmt125117948      8.268      1.038    0.08755      1.059   0.05474     0.662
bmt2582347b       8.267      1.038    0.08771      1.061   0.05475    0.6623
bmt169225712      8.239      1.034          0          0         0         0
bmt2582438b       8.239      1.034          0          0         0         0
bmt125122372      8.266      1.037          0          0         0         0
bmt125122379      8.266      1.037          0          0         0         0
bmt125122407      8.266      1.037          0          0         0         0
bmt2587821b       8.266      1.037          0          0         0         0
bmt125122386      8.266      1.037          0          0         0         0
bmt154998680      8.263      1.037    0.08857      1.072   0.05486    0.6639
bmt2583362b       8.262      1.037    0.08877      1.074   0.05488    0.6643
bmt169225713      8.237      1.034          0          0         0         0
bmt2575025b       8.237      1.034          0          0         0         0
bmt2582508b       8.237      1.034          0          0         0         0
bmt1600590b       8.235      1.034          0          0         0         0
bmt2575039b       8.235      1.034          0          0         0         0
bmt169225714      8.235      1.034          0          0         0         0
bmt169225717      8.235      1.034          0          0         0         0
bmt2575095b       8.235      1.034          0          0         0         0
bmt1600604b       8.234      1.033          0          0         0         0
bmt2575060b       8.234      1.033          0          0         0         0
bmt169225719      8.233      1.033          0          0         0         0
bmt2575102b       8.233      1.033          0          0         0         0
bmt2575116b       8.233      1.033          0          0         0         0
bmt169225722      8.233      1.033          0          0         0         0
bmt2575123b       8.233      1.033          0          0         0         0
bmt125122092      8.233      1.033          0          0         0         0
bmt2575130b       8.233      1.033          0          0         0         0
bmt169225731      8.233      1.033          0          0         0         0
bmt2575165b       8.233      1.033          0          0         0         0
bmt2575354b       8.233      1.033          0          0         0         0
bmt1600632b       8.232      1.033          0          0         0         0
bmt2575249b       8.232      1.033          0          0         0         0
bmt125122106      8.233      1.033          0          0         0         0
bmt2575333b       8.233      1.033          0          0         0         0
bmt169225729      8.233      1.033          0          0         0         0
bmt2576740b       8.233      1.033          0          0         0         0
bmt125122113      8.233      1.033          0          0         0         0
bmt169225724      8.233      1.033          0          0         0         0
bmt169225725      8.233      1.033          0          0         0         0
bmt2575326b       8.233      1.033          0          0         0         0
bmt1600653b       8.233      1.033          0          0         0         0
bmt2575396b       8.233      1.033          0          0         0         0
bmt1600660b       8.233      1.033          0          0         0         0
bmt125122134      8.233      1.033          0          0         0         0
bmt169225726      8.233      1.033          0          0         0         0
bmt169225727      8.233      1.033          0          0         0         0
bmt2575305b       8.233      1.033          0          0         0         0
bmt1600674b       8.233      1.033          0          0         0         0
bmt169225728      8.233      1.033          0          0         0         0
bmt169225750      8.232      1.033          0          0         0         0
bmt2009607b       8.232      1.033          0          0         0         0
bmt125122183      8.232      1.033          0          0         0         0
bmt2575256b       8.232      1.033          0          0         0         0
bmt1600688b       8.232      1.033          0          0         0         0
bmt2575263b       8.232      1.033          0          0         0         0
bmt169225732      8.232      1.033          0          0         0         0
bmt169225733      8.232      1.033          0          0         0         0
